child_lemma	child_pos	child_case	child_number	parent_lemma	parent_pos	parent_case	parent_number	text	sentence	sentence_id	child_lemma_total
pere_naine	NOUN	Tra	Sing	minek	NOUN	Ela	Sing	perenaiseks minekust	Kui varem unistasin maale ___perenaiseks___ ___minekust___ , siis nüüd on vastupidi - tahaksin elada võimalikult suures linnas .	264	12
perspektiivika	NOUN	Ela	Sing	tulevik	NOUN	Ela	Sing	perspektiivikast tulevikust	On arusaadav , et noored unistavad ___perspektiivikast___ ___tulevikust___ - tulusast ametist , kõrgest palgast ja heast perekonnast .	362	3
kodu	NOUN	Ine	Sing	kook	NOUN	Ela	Plur	kodus kookidest	Ära ütle iialgi ära ___kodus___ küpsetatud ___kookidest___ .	434	714
enamik	NOUN	Ine	Sing	kiiver	NOUN	Ine	Plur	Enamikus kiivrites	___Enamikus___ sellistes ___kiivrites___ on kõrvaklapid stereoheli kuulamiseks .	501	42
valge	NOUN	Ine	Plur	naiste_rõivas	NOUN	Ine	Plur	valgetes naisterõivastes	Need olid ___valgetes___ ___naisterõivastes___ noored tüdrukud , kes kadriema juhtimisel lauldes ja tantsides perest perre käisid ja pererahvale head karjaõnne soovisid .	858	7
pere	NOUN	Ela	Sing	pere	NOUN	Add	Sing	perest perre	Need olid valgetes naisterõivastes noored tüdrukud , kes kadriema juhtimisel lauldes ja tantsides ___perest___ ___perre___ käisid ja pererahvale head karjaõnne soovisid .	858	277
plats	NOUN	Ade	Sing	hoone	NOUN	Ine	Sing	platsil hoones	Aastal 1999 avati Tallinna vanalinna südames Raekoja ___platsil___ Raeapteegi ___hoones___ Eesti esimene küüslaugurestoran Balthasar .	889	26
komponent	NOUN	Ela	Plur	au_koht	NOUN	Ade	Sing	komponentidest aukohal	Menüüs , nagu koha nimigi reedab , on ___komponentidest___ ___aukohal___ küüslauk .	893	3
süü_tunne	NOUN	Ela	Sing	vabanemine	NOUN	Tra	Sing	süütundest vabanemiseks	Mida kõike olen teinud ___süütundest___ ___vabanemiseks___ .	1077	3
tross	NOUN	Ela	Plur	rada	NOUN	Ade	Sing	trossidest rajal	Päeva teisel poolel tarnisime 9 m kõrgusele puude otsa ehitatud köitest ja ___trossidest___ ___rajal___ .	1186	4
kramp	NOUN	Ela	Sing	üle_saamine	NOUN	Tra	Sing	krambist ülesaamiseks	Mida soovitatakse teha ___krambist___ ___ülesaamiseks___ vees ?	1234	2
ainuke	NOUN	Tra	Sing	nõrkus	NOUN	Tra	Sing	Ainukeseks nõrkuseks	___Ainukeseks___ ___nõrkuseks___ on see , et ta suhtub reaalsusesse veidi liiga kergelt .	1425	1
