id,verb,verb_compound,verb_feats,verb_is_aux,verb_deprel,sup_verb,sup_verb_feats,sup_verb_deprel,sentence,sentence_id
11,saama,,"ps,ill,mod,sup",1,conj,hakkama,"ps,ill,sup,main",xcomp,"Kui kvantitatiivsete meetodite korral olid valikutingimused antud piirangutega rahas , ajas , hulgas , hinnas jne , siis subjektiivsete hinnangute puhul sellist arvulist mõõtu pole ja me peame kuidagi teisiti ___hakkama___ ___saama___ .",190256
12,oskama,,"af,ps,sg,mod,ps2,pres,imper",1,advcl,andma,"ps,ill,sup,main",conj,"( Varasemale lisaks märgime , et paarisarvud 2 , 4 , 6 , 8 on varutud selle juhtumi jaoks , kui me ei ___oska___ eelistuse astet sisetunde põhjal täpselt määrata ja peame ___andma___ vahepealse hinnangu . )",190274
21,saama,,"aux,inf",0,xcomp,toimima,"ps,ill,mod,sup",xcomp,Võrgukoormuse ühtlase jaotuse saavutamiseks proovitakse tagasiside algoritme ___saada___ ___toimima___ sarnaselt enimkasutatava transpordiprotokolliga TCP .,191012
51,saama,,"inf,mod",0,xcomp,hakkama,"ps,ill,mod,sup",xcomp,"Siiski ei tohiks eelnevat mõista selliselt , et arvutid ning algoritmid kaevandavad - seda teevad ikkagi inimesed ning kaevandamisvahendite roll on abistav - võimaldada ___hakkama___ ___saada___ tohutute andmehulkadega ning neid interpreteerida .",192263
55,uskuma,,"aux,inf",0,xcomp,mõõtma,"ps,aux,ill,sup",ccomp,"Loomulikult ei taha keegi jäägitult ___uskuda___ , et kõikides valdkondades peab kõike ___mõõtma___ rahas - heaks näiteks on meditsiin .",192372
59,saama,,"ps,aux,ill,sup",1,root,hakkama,"ps,ill,sup,main",xcomp,"Lisaks sügavale analüüsimisele peab nende süsteem Retail Link ___hakkama___ ___saama___ [ 20 ] ka enam kui 7500 tarnijale täpse jooksva müügiinfo serveerimisega , võimaldades neil oma tootmist ning ladusid paremini planeerida .",192519
60,uskuma,,"af,ps,sg,ps3,main,pres,indic",0,root,jääma,"ps,ill,sup,main",ccomp,"Seetõttu ___usub___ autor , et antud valdkond peaks ___jääma___ alati teatud mõttes poolautomaatseks ning täisautomaatsena oleks süsteemil mõtet ainult ettevõttesisesena ( mille kitsad piirid seadistab eelnevalt siiski spetsialist ) .",192526
79,jõudma,,"af,mod,imps,pres,indic",0,root,jätkuma,"ps,ill,sup,main",advcl,"Juhul kui integraallülituste miniaturiseerumine peaks edaspidigi ___jätkuma___ samas tempos nagu viimase 20 aasta jooksul , siis ___jõutakse___ peagi teatavate füüsikaliste piirideni , kus :",193169
90,teadma,,"af,ps,sg,aux,ps3,pres,indic",0,advcl,toimima,"ps,aux,ill,sup",ccomp,"Arendajate jaoks on hea , kui tellija ___teab___ , mida ta tahab , mismoodi tulevane süsteem peaks ___toimima___ , kuid tavaliselt on tellijal ainult probleemid , mitte aga lahendused .",193355
130,teadma,,"ps,ill,mod,sup",1,root,lokaliseerima,"ps,ill,mod,sup",conj,"Ka ei pea robot alati oma asukohta ___teadma___ , vaid ainult graafi tippudes ennast ___lokaliseerima___ .",194389
146,saama,,"ps,sg,aux,neg,ps2,pres,imper",1,acl,hakkama,"ps,ill,mod,sup",xcomp,"Hea aeg metoodika juurutamiseks on saabunud siis , kui nii arendajad , juhid kui ka firma omanikud on jõudnud arusaamisele , et ilma metoodikata enam ___hakkama___ ei ___saa___ .",194922
170,saama,,"af,ps,sg,mod,ps3,pres,indic",0,root,tegema,"ps,ill,mod,sup",advcl,"Klient ___saab___ kiiresti kätte vajaliku informatsiooni , kuna selleni jõudmiseks ei pea korduvaid infopäringuid ___tegema___ .",196321
181,kiirustama,,"af,ps,sg,ps2,main,pres,imper",1,root,minema,"ps,ill,sup,main",xcomp,Domeene.ee registreeriv EENET ei ___kiirusta___ kaasa ___minema___ sakslaste initsiatiiviga .,196815
200,teadma,,"inf,main",1,root,olema,"ps,ill,sup,main",aux,"peab ___olema___ ___teada___ , kes ja millal vastava sissekande või tegevuse tegi",197687
223,ootama,,"af,aux,imps,pres,indic",0,conj,oskama,"ps,ill,mod,sup",parataxis,"“ teise kirjaoskuse ” aspektist on AO-le vastavaks metafooriks elementaarne lugemisoskus ja kirjatehnika , põhikooli lõpetajalt ___oodatakse___ aga juba “ funktsionaalset kirjaoskust ” ka infotehnoloogia vallas - ta peab ___oskama___ rakendada “ teist kirjaoskust ” konkreetsete probleemide lahendamiseks kooli kontekstis ( oma õppimise tõhustamine ; info otsing , töötlus , analüüs ja esitamine )",198208
240,võima,,"af,ps,sg,aux,ps3,pres,indic",0,root,kasutama,"ps,aux,ill,sup",conj,Meetodeid ___võib___ ja peab ___kasutama___ projekti arendamise mistahes faasis .,199161
242,soovima,,"af,pl,ps,mod,ps3,cond,pres",0,root,tegema,"ps,aux,ill,sup",advcl,"Isegi kogenud kasutajad , kes valivad Custom , ___sooviksid___ teada , kui palju valikuid nad peavad veel ___tegema___ .",199248
260,mõtlema,,"ps,aux,ill,sup",0,xcomp,mõtlema,"ps,ill,mod,sup",conj,"Ülikool peaks motiveerima juhtivteadureid ___mõtlema___ teadusprobleemide püstitamise juures kaugemale teaduse traditsioonilistest piiridest , ___mõtlema___ ka tehnoloogia loomisele ja patentidena vormistamisele , äriplaanide koostamisele .",199566
268,tahtma,,"af,pl,ps,mod,ps1,pres,indic",0,root,jääma,"ps,ill,sup,main",advcl,"me ___tahame___ kodeerimisel kasutada vähekvalifitseeritud tööjõudu , sest soldati-ohvitseri vahekord peab püsima ___jääma___ .",199931
270,saama,,"af,ps,sg,aux,ps2,cond,pres",0,advcl,hakkama,"ps,aux,ill,sup",xcomp,"Ehk pisut teisiti : on vaja teada , kuidas kavandada tarkvara nii , et kavandist lähtuva kodeerimisega ___saaksid___ ___hakkama___ suhteliselt madala tasemega programmeerijad ( programmeerimissoldatid ) .",199933
