id,sentence,aux_head,aux,level,sub,sup,inf
2,"Põhikool on kolmeastmeline, pärast üheksandat klassi võivad noored minna edasi õppima gümnaasiumi, kus õpitakse kolm aastat.",minema,võima,gümn,", klassi võivad noored minna õppima",0,1
6,"Võib valida humanitaarkallakuga kooli, mida ka lütseumiks nimetatakse.",valima,võima,gümn,Võib valida kooli .,0,1
12,Ülikoolidest võib valida riikliku või eraülikooli vahel.,valima,võima,gümn,Ülikoolidest võib valida riikliku .,0,1
44,"Uude seltskonda sattudes võiks leida alguses ühe inimese, kellega suhelda.",leidma,võima,gümn,sattudes võiks leida alguses inimese .,0,1
46,"Võiksid tähele panna, millest klassikaaslased räägivad, millised huvid neil on, kuidas nad ühesse või teisesse asjasse suhtuvad.",panema,võima,gümn,Võiksid tähele panna räägivad .,0,1
47,"Tuleks arvestada, et klass ei pea kohanema sinuga, vaid hoopis sina klassiga.",kohanema,pidama,gümn,", et klass ei pea kohanema sinuga",1,0
51,"Muidu võib juhtuda, et sa ei saa kooli lõpuski igavese tüütuse kuulsusest lahti.",juhtuma,võima,gümn,Muidu võib juhtuda saa .,0,1
55,"Sulle võib imelik tunduda, et pool klassi sinu arust täiesti väljakannatamatut muusikat naudib, aga jäta see arvamus enese teada.",tunduma,võima,gümn,Sulle võib imelik tunduda naudib .,0,1
59,"Ideaalses tunniplaanis lükatakse sinna vahele veel võimlemine või käsitöö, et õpilase pea saaks puhata.",puhkama,saama,gümn,", et pea saaks puhata",0,1
60,"Kirjanduses, kus õpilased peaksid palju raamatuid lugema ja kirjandeid kirjutama, muutub olukord väga keeruliseks.",lugema,pidama,gümn,", kus õpilased peaksid raamatuid lugema kirjutama ,",1,0
62,"Ainult paraja suurusega kaua aega ühiselu pidavas rühmas saab noorel areneda ja süveneda lähedus- ning kollektiivsustunne, sealt aga tekib armastus oma kooli ja oma maa vastu.",arenema,saama,gümn,aega rühmas saab noorel areneda süveneda tekib .,0,1
64,"Mida peab õpilane siis tegema, kui kool millegipärast ei sobi ja teine gümnaasium ei saa teda vastu võtta, sest tal on mõni teistes koolides kohustuslik aine läbi võtmata.",tegema,pidama,gümn,Mida peab õpilane siis tegema sobi .,1,0
64,"Mida peab õpilane siis tegema, kui kool millegipärast ei sobi ja teine gümnaasium ei saa teda vastu võtta, sest tal on mõni teistes koolides kohustuslik aine läbi võtmata.",võtma,saama,gümn,ja gümnaasium ei saa teda vastu võtta võtmata,0,1
65,"Tegelikult saab vaba ainevalikut rakendada vaid algul, mida hiljem, seda enam on läbivõtmata ainetundide kokkulangevusi.",rakendama,saama,gümn,Tegelikult saab ainevalikut rakendada algul enam .,0,1
78,"Mina kartsin väga, et ei saa keelega hakkama.",hakkama,saama,gümn,", et ei saa keelega hakkama",1,0
104,"Ootamatu oli see, et koolis ei tohtinud end meikida ja kõrvarõngaid võis olla korraga ainult üks paar.",meikima,tohtima,gümn,", et koolis ei tohtinud end meikida paar",0,1
128,"Kui sa tahad tunni ajal näiteks WC-sse minna, siis peab õpetaja sulle nn passi kirjutama.",kirjutama,pidama,gümn,tahad siis peab õpetaja sulle passi kirjutama .,1,0
138,Aasta varem saab praktikat sooritada vabatahtlikult.,sooritama,saama,gümn,varem saab praktikat sooritada vabatahtlikult .,0,1
147,Inglise lapsed pidid suvel koolis käima.,käima,pidama,gümn,lapsed pidid suvel koolis käima .,1,0
152,Õpilased ei saanud ise õppeaineid valida.,valima,saama,gümn,Õpilased ei saanud ise õppeaineid valida .,0,1
158,"Õhtul võib käia ööklubides, sest Tais ei ole mingit vanusepiirangut, eriti kui oled valge inimene.",käima,võima,gümn,Õhtul võib käia ööklubides Tais .,0,1
159,Aga meie kooli reeglite järgi muidugi öösel kuskil väljas käia ei tohtinud.,käima,tohtima,gümn,Aga reeglite muidugi öösel väljas käia ei tohtinud .,0,1
167,"Pärast koolipäeva võis osaleda mitmesugustel üritustel, näiteks mängida jalgpalli, korvpalli või keeglit, minna ujuma või kinno.",osalema,võima,gümn,koolipäeva võis osaleda üritustel mängida .,0,1
191,Rohkem poiss ja tüdruk teineteist puudutada ei või.,puudutama,võima,gümn,poiss teineteist puudutada ei või .,0,1
201,"Näiteks, kui meie pere sõi ja üks tütar võttis rohkem juurde, kui ette nähtud, pidi ta osa toitu tagasi panema.",panema,pidama,gümn,Näiteks sõi pidi ta osa toitu tagasi panema .,1,0
208,Prantslaste seas elades ei saa märkamatuks jääda nende vaidlushimu.,jääma,saama,gümn,elades ei saa märkamatuks jääda vaidlushimu .,0,1
215,Inemetti saab vaid koolis kasutada.,kasutama,saama,gümn,Inemetti saab vaid koolis kasutada .,0,1
235,Kogu aeg võis näha väga õnnelikke nägusid.,nägema,võima,gümn,aeg võis näha nägusid .,0,1
298,"Minu tulevane töökoht peaks olema seotud telekommunikatsiooniga, sest sellel on tulevikku, see huvitab mind ja seal on ka hea töötasu.",siduma,pidama,gümn,töökoht peaks olema seotud telekommunikatsiooniga sellel .,0,0
313,"Olin end treeningutele juba kirja pannud, kui ema teada sai.",teadma,saama,gümn,", kui ema teada sai",0,1
368,"Tundub, et mõned on kohe võitjaks sündinud, samal ajal teised ei saa millegagi hakkama, kuidas nad ka ei punnitaks.",hakkama,saama,gümn,", ajal teised ei saa millegagi hakkama punnitaks",1,0
371,Teie optimistlik loomus ja keskmisest suurem enesekindlus peaksid aitama eluraskustest üle saada ja kõiki võimalusi ära kasutada.,aitama,pidama,gümn,loomus peaksid aitama saada .,1,0
375,"Peate endasse rohkem uskuma, küll siis kõik asjad laabuma hakkavad.",uskuma,pidama,gümn,Peate endasse rohkem uskuma hakkavad .,1,0
376,"Isegi, kui oled sündinud võitjaks, ei saa sa seda teada enne, kui natukenegi pingutad.",teadma,saama,gümn,Isegi sündinud ei saa sa seda teada enne pingutad .,0,1
383,"Ja veel - selleks, et elus edasi jõuda, peab seda väga tahtma.",tahtma,pidama,gümn,veel - selleks peab seda väga tahtma .,1,0
386,"Te peate teadma oma eesmärki, milleni te tahate jõuda.",teadma,pidama,gümn,Te peate teadma eesmärki .,1,0
391,"Tuleb teha seda, mis teie arvates võiks tuua soovitud tulemusi.",tooma,võima,gümn,", mis arvates võiks tuua tulemusi",0,1
398,Selle kaudu võite hinnata ümbrusest tulevaid signaale oma tegevuse ja käitumise sobivusele ning vajadusel korrigeerida neid.,hindama,võima,gümn,Selle võite hinnata ümbrusest signaale tegevuse korrigeerida .,0,1
400,"Aeg-ajalt on vaja ka loovat mõtlemist ja riskijulgust, ideid võite saada näiteks mõnest heast raamatust.",saama,võima,gümn,", ideid võite saada raamatust",0,1
409,"Mitte keegi ei saa sulle ütelda, millega sa pead rahul olema, kuidas sa peaksid õnnelik olema, kes või mis teevad sind õnnelikuks.",ütlema,saama,gümn,keegi ei saa sulle ütelda pead .,0,1
410,"Tõelist õnne ei saa leida kopeerides seda, kuidas teised inimesed elavad, mida nad tahavad, mis neid õnnelikuks teeb.",leidma,saama,gümn,õnne ei saa leida kopeerides .,0,1
