lang_level	child_lemma	child_pos	child_case	child_number	parent_lemma	parent_pos	parent_case	parent_number	text	sentence	sentence_id	child_lemma_total
gümn	nädal	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	nädal aega	Kolmandas klassis ( meie 9. kl ) viibitakse ___nädal___ ___aega___ kohustuslikul tööpraktikal .	136	225
gümn	hulk	NOUN	Gen	Sing	sõda	NOUN	Par	Plur	hulga sõdu	Saja aasta sisse saame paigutada kaks verist maailmasõda ja veel terve ___hulga___ lokaalseid ___sõdu___ , kommunismi ja fašismi tõusu ja languse , siia mahub peaaegu kogu teadus- ja tehnikarevolutsioon , kogu modernistlik kunstimaailm , ka infoühiskonna sünd .	570	45
gümn	kuu	NOUN	Gen	Sing	aeg	NOUN	Par	Sing	kuu aega	Kevadel luban endale ___kuu___ ___aega___ vaba inimese elu .	747	156
gümn	kuu	NOUN	Nom	Sing	aeg	NOUN	Par	Sing	Kuu aega	___Kuu___ ___aega___ , sest kauem ei suudaks .	748	156
gümn	kamp	NOUN	Nom	Sing	mardi_jooksja	NOUN	Par	Plur	kamp mardijooksjaid	Mida suurem ___kamp___ ___mardijooksjaid___ , seda rohkem lapsi peremehele ja rikkalikku põllusaaki .	850	7
gümn	valik	NOUN	Nom	Sing	muusika_video	NOUN	Par	Plur	valik muusikavideoid	Siin on suur tantsupõrand , suurepärane aparatuur ja lai ___valik___ ___muusikavideoid___ .	925	56
gümn	klaas	NOUN	Par	Sing	õuna_maha	NOUN	Par	Sing	klaasi õunamahla	Palun kaks maasikakooki , kolm suurt võileiba ja kolm ___klaasi___ ___õunamahla___ .	945	21
gümn	pakk	NOUN	Gen	Sing	sigaret	NOUN	Par	Plur	paki sigarette	Rutt võtab kotist välja ___paki___ ___sigarette___ .	1097	18
gümn	liik	NOUN	Gen	Sing	levik	NOUN	Par	Sing	liigi levikut	Punane raamat ei sisalda looduskaitse seadusi ega määrusi , see on teadusandmete kogu , mis kajastab ___liigi___ ___levikut___ ja seisukorda koos ettepanekutega selle kaitse vajaduse kohta .	1276	49
gümn	liik	NOUN	Gen	Plur	olu_kord	NOUN	Par	Sing	liikide olukorda	Loodusuurijad peavad pidevalt jälgima ohustatud ja haruldaste ___liikide___ ___olukorda___ ning kandma uued andmed raamatusse .	1278	49
gümn	ruut_meeter	NOUN	Par	Sing	maa	NOUN	Par	Sing	ruutmeetrit maad	Iga kaheksakümne krooni eest ostetud pilet võimaldab meil osta 50 ___ruutmeetrit___ ___maad___ .	1333	2
gümn	liik	NOUN	Gen	Sing	puu	NOUN	Par	Plur	liigi puid	Loodussõpradele pakub aga kindlasti huvi Luua barokne mõisakompleks ja park koos dendropargiga , kus kasvab üle 800 ___liigi___ ___puid___ ja põõsaid mitmelt poolt maailmast .	1500	49
gümn	enamik	NOUN	Nom	Sing	inimene	NOUN	Par	Plur	Enamik inimesi	___Enamik___ ___inimesi___ armastas lapsena muinasjutte ning paljud ei julge tunnistada , et armastavad neid täiskasvanunagi .	1796	42
