id,sentence,verb,xcomp,level,sub
193,"Enne pidusid käib suur sisseostude tegemine ja igaüks räägib, mis kingad ta jalga paneb ja kus ta soengu teha laseb.",laskma,tegema,gümn,ja kus ta teha laseb
213,Kõik lapsed aitavad kodus talitada.,aitama,talitama,gümn,lapsed aitavad talitada .
271,"Sotsiaaltöö ei ole küll tulus amet, aga see võimaldab midagi teiste heaks teha.",võimaldama,tegema,gümn,", aga see võimaldab teha"
286,"See võiks olla niisugune, mis pakub piisavalt huvi ja pinget, võimaldab pidevalt edasi areneda.",võimaldama,arenema,gümn,", võimaldab areneda"
371,Teie optimistlik loomus ja keskmisest suurem enesekindlus peaksid aitama eluraskustest üle saada ja kõiki võimalusi ära kasutada.,aitama,saama,gümn,loomus peaksid aitama saada .
534,"Kust soovitate otsida abi ja õpetust, et koostada väärikas kodulehekülg?",soovitama,otsima,gümn,Kust soovitate otsida koostada ?
833,"Tüdrukud lasksid poistel värvitud mune valida, sest värvide järgi sai teada poisi mõtteid.",laskma,valima,gümn,Tüdrukud lasksid poistel valida teada .
836,"Eriti vaikselt pidi vanarahva kombel mööda saatma 2. novembri, sel päeval ei soovitatud ka tööd teha.",soovitama,tegema,gümn,", päeval ei soovitatud teha"
891,Aristokraatlikku õhustikku aitab rõhutada keskaegsele hoonele kohane puidust interjöör.,aitama,rõhutama,gümn,aitab rõhutada .
942,"Siseruumide liigendatus võimaldab igal kliendil leida sobiva ruumi kas sünnipäeva pidamiseks, ärilõunaks või millekski muuks.",võimaldama,leidma,gümn,liigendatus võimaldab kliendil leida .
960,Lased endale nabarõnga panna ja värvid juuksed eresiniseks.,laskma,panema,gümn,Lased panna .
1234,Mida soovitatakse teha krambist ülesaamiseks vees?,soovitama,tegema,gümn,soovitatakse teha ?
1235,Kellel ei soovitata ujuda?,soovitama,ujuma,gümn,Kellel ei soovitata ujuda ?
1279,"See võimaldab looduskaitsel võtta meetmeid, et päästa ohtu sattunud liigid hävingust.",võimaldama,võtma,gümn,See võimaldab võtta .
1333,Iga kaheksakümne krooni eest ostetud pilet võimaldab meil osta 50 ruutmeetrit maad.,võimaldama,ostma,gümn,pilet võimaldab osta .
1654,"Eriliseks tõmbenumbriks kujunes kogukas ja muhe trummar, kelle mäng avaldas niivõrd head muljet, et pärast kontserti kogunes mehe juurde järjekord vaimustatud turistidest, kes kõik soovisid end temaga koos pildistada lasta.",laskma,pildistama,gümn,pildistada lasta
1719,"Ärge laske pildikastil liiga palju mõjutada oma elu, võtke vahel ka raamat kätte.",laskma,mõjutama,gümn,Ärge laske mõjutada võtke .
1767,"Kuulajal pole vaja teha muud, kui silmad sulgeda, muusikat nautida ja lasta oma fantaasial lennata.",laskma,lendama,gümn,ja lasta lennata
1790,"Kui teie eelarve võimaldab osta ruudukest reklaamirubriigis, mis on ümbritsetud samasugustest, siis kujundage oma sõnumist selle keskele ring, kolmnurk, tindiplekk või mis tahes vorm.",võimaldama,ostma,gümn,Kui eelarve võimaldab osta
2145,"Kolme suure toidukorra asemel soovitatakse päevane toidukogus jagada kolmeks põhitoidukorraks: hommikusöök, lõunasöök, õhtusöök, mille vahele jääb 1-2 vahepala ehk oodet.",soovitama,jagama,gümn,toidukorra soovitatakse jagada .
